"Keyword","Search Volume","Intent"
"malaria treatment guidelines Nigeria","High","informational"
"kedi products for female infertility","Medium","commercial"
"cost of Cardibetter in Nigeria","High","transactional"
"best herbal medicine for high blood pressure","High","informational"
"Kenny Infinix Health Centre Otta","Low","navigational"
"herbal cure for typhoid fever in Nigeria","High","informational"
"Re-vive capsules price in Nigeria","High","transactional"
"Golden Six capsules benefits and side effects","Medium","informational"
"Kedi Gynapharm capsules for infection","High","transactional"
"where to buy Kedi products in Ogun State","Medium","navigational"
